player_id,source_file,output_file,site_file,source_size_bytes,output_size_bytes,compression_ratio,width,height,status,error
1631157,D:\nba\headshot\1631157.png,D:\nba\headshot(webp)\1631157.webp,D:\nba\salary_scatter_site\assets\headshots\1631157.webp,47128,4652,0.0987,120,120,skipped_existing,
1631221,D:\nba\headshot\1631221.png,D:\nba\headshot(webp)\1631221.webp,D:\nba\salary_scatter_site\assets\headshots\1631221.webp,42334,4434,0.1047,120,120,skipped_existing,
1630530,D:\nba\headshot\1630530.png,D:\nba\headshot(webp)\1630530.webp,D:\nba\salary_scatter_site\assets\headshots\1630530.webp,46835,4508,0.0963,120,120,skipped_existing,
1631217,D:\nba\headshot\1631217.png,D:\nba\headshot(webp)\1631217.webp,D:\nba\salary_scatter_site\assets\headshots\1631217.webp,50063,5136,0.1026,120,120,skipped_existing,
203076,D:\nba\headshot\203076.png,D:\nba\headshot(webp)\203076.webp,D:\nba\salary_scatter_site\assets\headshots\203076.webp,55260,6194,0.1121,120,120,skipped_existing,
203944,D:\nba\headshot\203944.png,D:\nba\headshot(webp)\203944.webp,D:\nba\salary_scatter_site\assets\headshots\203944.webp,51475,4260,0.0828,120,120,skipped_existing,
202331,D:\nba\headshot\202331.png,D:\nba\headshot(webp)\202331.webp,D:\nba\salary_scatter_site\assets\headshots\202331.webp,45106,4628,0.1026,120,120,skipped_existing,
1642845,D:\nba\headshot\1642845.png,D:\nba\headshot(webp)\1642845.webp,D:\nba\salary_scatter_site\assets\headshots\1642845.webp,43502,4558,0.1048,120,120,skipped_existing,
1641764,D:\nba\headshot\1641764.png,D:\nba\headshot(webp)\1641764.webp,D:\nba\salary_scatter_site\assets\headshots\1641764.webp,56920,6214,0.1092,120,120,skipped_existing,
1627936,D:\nba\headshot\1627936.png,D:\nba\headshot(webp)\1627936.webp,D:\nba\salary_scatter_site\assets\headshots\1627936.webp,46886,5190,0.1107,120,120,skipped_existing,
1629027,D:\nba\headshot\1629027.png,D:\nba\headshot(webp)\1629027.webp,D:\nba\salary_scatter_site\assets\headshots\1629027.webp,51300,5370,0.1047,120,120,skipped_existing,
1631114,D:\nba\headshot\1631114.png,D:\nba\headshot(webp)\1631114.webp,D:\nba\salary_scatter_site\assets\headshots\1631114.webp,48103,5022,0.1044,120,120,skipped_existing,
1628404,D:\nba\headshot\1628404.png,D:\nba\headshot(webp)\1628404.webp,D:\nba\salary_scatter_site\assets\headshots\1628404.webp,54431,6230,0.1145,120,120,skipped_existing,
1626181,D:\nba\headshot\1626181.png,D:\nba\headshot(webp)\1626181.webp,D:\nba\salary_scatter_site\assets\headshots\1626181.webp,46366,4512,0.0973,120,120,skipped_existing,
1642843,D:\nba\headshot\1642843.png,D:\nba\headshot(webp)\1642843.webp,D:\nba\salary_scatter_site\assets\headshots\1642843.webp,53564,5860,0.1094,120,120,skipped_existing,
1630541,D:\nba\headshot\1630541.png,D:\nba\headshot(webp)\1630541.webp,D:\nba\salary_scatter_site\assets\headshots\1630541.webp,55065,5968,0.1084,120,120,skipped_existing,
1629130,D:\nba\headshot\1629130.png,D:\nba\headshot(webp)\1629130.webp,D:\nba\salary_scatter_site\assets\headshots\1629130.webp,52128,5986,0.1148,120,120,skipped_existing,
1628991,D:\nba\headshot\1628991.png,D:\nba\headshot(webp)\1628991.webp,D:\nba\salary_scatter_site\assets\headshots\1628991.webp,41319,3814,0.0923,120,120,skipped_existing,
1631117,D:\nba\headshot\1631117.png,D:\nba\headshot(webp)\1631117.webp,D:\nba\salary_scatter_site\assets\headshots\1631117.webp,40396,3492,0.0864,120,120,skipped_existing,
1629627,D:\nba\headshot\1629627.png,D:\nba\headshot(webp)\1629627.webp,D:\nba\salary_scatter_site\assets\headshots\1629627.webp,45729,4384,0.0959,120,120,skipped_existing,
1642844,D:\nba\headshot\1642844.png,D:\nba\headshot(webp)\1642844.webp,D:\nba\salary_scatter_site\assets\headshots\1642844.webp,49480,4352,0.088,120,120,skipped_existing,
1627826,D:\nba\headshot\1627826.png,D:\nba\headshot(webp)\1627826.webp,D:\nba\salary_scatter_site\assets\headshots\1627826.webp,43609,4848,0.1112,120,120,skipped_existing,
1630180,D:\nba\headshot\1630180.png,D:\nba\headshot(webp)\1630180.webp,D:\nba\salary_scatter_site\assets\headshots\1630180.webp,46744,4508,0.0964,120,120,skipped_existing,
1631106,D:\nba\headshot\1631106.png,D:\nba\headshot(webp)\1631106.webp,D:\nba\salary_scatter_site\assets\headshots\1631106.webp,43477,3846,0.0885,120,120,skipped_existing,
1629660,D:\nba\headshot\1629660.png,D:\nba\headshot(webp)\1629660.webp,D:\nba\salary_scatter_site\assets\headshots\1629660.webp,50415,4418,0.0876,120,120,skipped_existing,
1628970,D:\nba\headshot\1628970.png,D:\nba\headshot(webp)\1628970.webp,D:\nba\salary_scatter_site\assets\headshots\1628970.webp,52010,5106,0.0982,120,120,skipped_existing,
1629661,D:\nba\headshot\1629661.png,D:\nba\headshot(webp)\1629661.webp,D:\nba\salary_scatter_site\assets\headshots\1629661.webp,50077,5862,0.1171,120,120,skipped_existing,
